Time,E,H,I,R,S
0.0230051,135,0,8,1,9856
0.0387112,134,0,9,1,9856
0.0579217,133,0,10,1,9856
0.0582305,132,0,11,1,9856
0.0911027,131,0,12,1,9856
0.0922543,130,0,13,1,9856
0.107935,129,0,14,1,9856
0.127942,128,0,15,1,9856
0.184911,128,0,14,2,9856
0.246511,129,0,14,2,9855
0.350069,128,0,15,2,9855
0.364033,127,0,16,2,9855
0.486499,126,0,17,2,9855
0.553054,125,0,18,2,9855
0.587702,126,0,18,2,9854
0.594247,125,0,19,2,9854
0.639323,124,0,20,2,9854
0.6496,124,0,19,3,9854
0.671252,123,0,20,3,9854
0.691804,124,0,20,3,9853
0.747574,123,0,21,3,9853
0.757081,122,0,22,3,9853
0.766457,121,0,23,3,9853
0.817879,121,0,22,4,9853
0.846243,122,0,22,4,9852
0.86283,123,0,22,4,9851
0.8931,122,0,23,4,9851
0.911586,121,0,24,4,9851
0.915033,120,0,25,4,9851
0.919138,121,0,25,4,9850
0.947845,120,0,26,4,9850
0.953148,121,0,26,4,9849
1.00166,120,0,27,4,9849
1.01566,119,0,28,4,9849
1.05062,119,0,27,5,9849
1.06341,119,0,26,6,9849
1.08572,118,0,27,6,9849
1.13687,117,0,28,6,9849
1.13791,118,0,28,6,9848
1.15151,118,0,27,7,9848
1.15475,119,0,27,7,9847
1.17189,119,0,26,8,9847
1.23282,118,0,27,8,9847
1.30571,119,0,27,8,9846
1.31196,120,0,27,8,9845
1.3652,121,0,27,8,9844
1.37971,122,0,27,8,9843
1.38063,121,0,28,8,9843
1.38257,120,0,29,8,9843
1.41839,121,0,29,8,9842
1.41898,120,0,30,8,9842
1.43643,121,0,30,8,9841
1.46126,120,0,31,8,9841
1.47656,119,0,32,8,9841
1.49161,120,0,32,8,9840
1.51542,121,0,32,8,9839
1.52299,121,0,31,9,9839
1.52904,120,0,32,9,9839
1.53588,121,0,32,9,9838
1.55665,120,0,33,9,9838
1.56703,120,0,32,10,9838
1.58576,121,0,32,10,9837
1.60499,121,0,31,11,9837
1.60894,120,0,32,11,9837
1.61231,121,0,32,11,9836
1.62186,120,0,33,11,9836
1.62681,120,0,32,12,9836
1.64597,120,0,31,13,9836
1.64735,121,0,31,13,9835
1.74038,122,0,31,13,9834
1.74045,123,0,31,13,9833
1.75216,122,0,32,13,9833
1.75744,121,0,33,13,9833
1.7609,120,0,34,13,9833
1.76667,119,0,35,13,9833
1.8165,120,0,35,13,9832
1.81676,121,0,35,13,9831
1.84694,122,0,35,13,9830
1.85562,123,0,35,13,9829
1.88222,124,0,35,13,9828
1.88784,123,0,36,13,9828
1.89346,122,0,37,13,9828
1.92929,122,0,36,14,9828
1.94312,123,0,36,14,9827
1.9444,124,0,36,14,9826
1.94607,123,0,37,14,9826
1.97158,122,0,38,14,9826
1.97741,123,0,38,14,9825
1.9957,122,0,39,14,9825
2.00566,123,0,39,14,9824
2.00573,123,0,38,15,9824
2.01644,122,0,39,15,9824
2.02663,123,0,39,15,9823
2.05,122,0,40,15,9823
2.05213,121,0,41,15,9823
2.05313,122,0,41,15,9822
2.06422,121,0,42,15,9822
2.06746,120,0,43,15,9822
2.07294,121,0,43,15,9821
2.07441,122,0,43,15,9820
