Time,E,H,I,R,S
0.00486697,134,0,10,0,9856
0.0461444,135,0,10,0,9855
0.0502456,134,0,11,0,9855
0.132439,135,0,11,0,9854
0.13369,135,0,10,1,9854
0.165275,134,0,11,1,9854
0.181364,133,0,12,1,9854
0.181874,132,0,13,1,9854
0.211352,133,0,13,1,9853
0.214074,133,0,12,2,9853
0.217589,132,0,13,2,9853
0.22245,133,0,13,2,9852
0.227218,132,0,14,2,9852
0.283063,131,0,15,2,9852
0.303192,132,0,15,2,9851
0.323054,131,0,16,2,9851
0.332208,132,0,16,2,9850
0.346728,133,0,16,2,9849
0.350892,132,0,17,2,9849
0.418809,131,0,18,2,9849
0.420172,131,0,17,3,9849
0.425734,130,0,18,3,9849
0.444894,129,0,19,3,9849
0.476586,130,0,19,3,9848
0.483537,131,0,19,3,9847
0.497352,130,0,20,3,9847
0.505558,129,0,21,3,9847
0.51744,128,0,22,3,9847
0.522007,127,0,23,3,9847
0.522981,126,0,24,3,9847
0.539835,126,0,23,4,9847
0.565355,125,0,24,4,9847
0.574176,125,0,23,5,9847
0.581105,124,0,24,5,9847
0.594932,123,0,25,5,9847
0.634656,122,0,26,5,9847
0.6349,121,0,27,5,9847
0.649007,121,0,26,6,9847
0.674643,122,0,26,6,9846
0.681635,122,0,25,7,9846
0.700059,121,0,26,7,9846
0.705965,122,0,26,7,9845
0.710989,123,0,26,7,9844
0.733735,122,0,27,7,9844
0.785332,123,0,27,7,9843
0.823948,124,0,27,7,9842
0.831764,125,0,27,7,9841
0.86509,124,0,28,7,9841
0.881129,125,0,28,7,9840
0.939059,126,0,28,7,9839
0.952537,125,0,29,7,9839
0.959084,126,0,29,7,9838
0.984186,127,0,29,7,9837
0.98926,127,0,28,8,9837
1.01832,128,0,28,8,9836
1.01885,127,0,29,8,9836
1.04495,126,0,30,8,9836
1.05681,125,0,31,8,9836
1.1029,124,0,32,8,9836
1.11477,125,0,32,8,9835
1.13298,125,0,31,9,9835
1.15022,126,0,31,9,9834
1.1581,126,0,30,10,9834
1.16344,125,0,31,10,9834
1.18391,124,0,32,10,9834
1.19741,123,0,33,10,9834
1.23409,122,0,34,10,9834
1.23416,123,0,34,10,9833
1.28417,122,0,35,10,9833
1.28789,121,0,36,10,9833
1.29457,122,0,36,10,9832
1.30474,123,0,36,10,9831
1.31247,124,0,36,10,9830
1.3498,125,0,36,10,9829
1.36884,124,0,37,10,9829
1.41254,125,0,37,10,9828
1.41544,126,0,37,10,9827
1.44488,125,0,38,10,9827
1.48662,124,0,39,10,9827
1.49359,125,0,39,10,9826
1.51752,125,0,38,11,9826
1.52465,124,0,39,11,9826
1.52911,125,0,39,11,9825
1.53525,126,0,39,11,9824
1.53822,126,0,38,12,9824
1.5689,125,0,39,12,9824
1.56938,125,0,38,13,9824
1.57222,124,0,39,13,9824
1.57929,125,0,39,13,9823
1.58621,126,0,39,13,9822
1.59331,127,0,39,13,9821
1.61096,128,0,39,13,9820
1.65747,127,0,40,13,9820
1.66138,126,0,41,13,9820
1.66811,127,0,41,13,9819
1.67199,126,0,42,13,9819
1.68289,127,0,42,13,9818
1.69532,128,0,42,13,9817
1.70104,129,0,42,13,9816
1.70425,130,0,42,13,9815
1.70479,130,0,41,14,9815
1.71545,131,0,41,14,9814
1.73376,130,0,42,14,9814
1.75281,131,0,42,14,9813
1.78108,130,0,43,14,9813
1.7964,129,0,44,14,9813
1.81247,128,0,45,14,9813
1.83112,129,0,45,14,9812
1.84671,130,0,45,14,9811
1.89203,129,0,46,14,9811
1.89634,130,0,46,14,9810
1.90779,131,0,46,14,9809
1.91631,132,0,46,14,9808
1.94505,131,0,47,14,9808
1.94764,132,0,47,14,9807
1.9587,133,0,47,14,9806
1.98564,133,0,46,15,9806
1.99932,134,0,46,15,9805
2.07594,134,0,45,16,9805
2.09918,135,0,45,16,9804
2.12528,136,0,45,16,9803
2.12576,137,0,45,16,9802
2.12955,136,0,46,16,9802
2.14157,135,0,47,16,9802
2.1559,134,0,48,16,9802
2.15892,133,0,49,16,9802
2.17618,134,0,49,16,9801
2.17744,133,0,50,16,9801
2.18215,134,0,50,16,9800
2.20415,134,0,49,17,9800
2.20875,135,0,49,17,9799
2.24271,134,0,50,17,9799
2.25299,133,0,51,17,9799
2.25389,133,0,50,18,9799
2.27132,132,0,51,18,9799
2.27968,133,0,51,18,9798
2.28053,134,0,51,18,9797
2.29292,134,0,50,19,9797
2.29816,133,0,51,19,9797
2.30587,134,0,51,19,9796
2.31607,135,0,51,19,9795
2.33268,136,0,51,19,9794
2.34924,135,0,52,19,9794
2.35159,136,0,52,19,9793
2.3575,137,0,52,19,9792
2.37181,138,0,52,19,9791
2.38799,139,0,52,19,9790
2.40569,140,0,52,19,9789
2.43568,139,0,53,19,9789
2.45439,140,0,53,19,9788
2.4587,140,0,52,20,9788
2.4775,139,0,53,20,9788
2.47799,139,0,52,21,9788
2.48355,140,0,52,21,9787
2.50024,139,0,53,21,9787
2.50602,138,0,54,21,9787
2.52197,137,0,55,21,9787
2.53495,136,0,56,21,9787
2.53692,136,0,55,22,9787
2.54768,137,0,55,22,9786
2.5694,137,0,54,23,9786
2.58092,136,0,55,23,9786
2.5857,137,0,55,23,9785
2.59268,138,0,55,23,9784
2.59623,139,0,55,23,9783
2.63013,140,0,55,23,9782
2.64881,141,0,55,23,9781
2.65336,142,0,55,23,9780
2.65954,141,0,56,23,9780
2.67641,142,0,56,23,9779
2.67714,142,0,55,24,9779
2.68178,143,0,55,24,9778
