Time,E,H,I,R,S
0.000151762,135,0,8,1,9856
0.242971,134,0,9,1,9856
0.249406,133,0,10,1,9856
0.257401,132,0,11,1,9856
0.258907,132,0,10,2,9856
0.281456,131,0,11,2,9856
0.337162,130,0,12,2,9856
0.372794,129,0,13,2,9856
0.407207,130,0,13,2,9855
0.411054,129,0,14,2,9855
0.4652,128,0,15,2,9855
0.493831,129,0,15,2,9854
0.504271,128,0,16,2,9854
0.513238,128,0,15,3,9854
0.529412,127,0,16,3,9854
0.536493,128,0,16,3,9853
0.538863,127,0,17,3,9853
0.563381,128,0,17,3,9852
0.596284,129,0,17,3,9851
0.600974,130,0,17,3,9850
0.649589,129,0,18,3,9850
0.673027,130,0,18,3,9849
0.674225,129,0,19,3,9849
0.681467,128,0,20,3,9849
0.760011,127,0,21,3,9849
0.76096,128,0,21,3,9848
0.773271,128,0,20,4,9848
0.774105,128,0,19,5,9848
0.774319,129,0,19,5,9847
0.79535,130,0,19,5,9846
0.799055,129,0,20,5,9846
0.802666,128,0,21,5,9846
0.819431,127,0,22,5,9846
0.838995,127,0,21,6,9846
0.855873,126,0,22,6,9846
0.881072,125,0,23,6,9846
0.883689,124,0,24,6,9846
0.954892,124,0,23,7,9846
0.973681,125,0,23,7,9845
0.987555,124,0,24,7,9845
1.01205,124,0,23,8,9845
1.0414,125,0,23,8,9844
1.04494,126,0,23,8,9843
1.0707,127,0,23,8,9842
1.12723,127,0,22,9,9842
1.14668,126,0,23,9,9842
1.17716,126,0,22,10,9842
1.20841,127,0,22,10,9841
1.21989,126,0,23,10,9841
1.23205,126,0,22,11,9841
1.23537,127,0,22,11,9840
1.24472,126,0,23,11,9840
1.24612,127,0,23,11,9839
1.26148,127,0,22,12,9839
1.27369,128,0,22,12,9838
1.28298,128,0,21,13,9838
1.289,129,0,21,13,9837
1.29583,129,0,20,14,9837
1.306,130,0,20,14,9836
1.31932,129,0,21,14,9836
1.31987,130,0,21,14,9835
1.33026,129,0,22,14,9835
1.3483,128,0,23,14,9835
1.35732,127,0,24,14,9835
1.36944,126,0,25,14,9835
1.38576,125,0,26,14,9835
1.39569,124,0,27,14,9835
1.40954,125,0,27,14,9834
1.41826,124,0,28,14,9834
1.42963,125,0,28,14,9833
1.43452,126,0,28,14,9832
1.45205,125,0,29,14,9832
1.47301,124,0,30,14,9832
1.49893,124,0,29,15,9832
1.50497,125,0,29,15,9831
1.51356,124,0,30,15,9831
1.53592,124,0,29,16,9831
1.539,125,0,29,16,9830
1.55808,124,0,30,16,9830
1.56818,123,0,31,16,9830
1.57542,123,0,30,17,9830
1.58616,124,0,30,17,9829
1.60331,123,0,31,17,9829
1.60992,124,0,31,17,9828
1.63367,123,0,32,17,9828
1.65089,122,0,33,17,9828
1.66896,121,0,34,17,9828
1.66956,120,0,35,17,9828
1.68052,119,0,36,17,9828
1.70053,120,0,36,17,9827
1.70117,121,0,36,17,9826
1.7249,120,0,37,17,9826
1.77486,121,0,37,17,9825
1.77912,122,0,37,17,9824
1.80041,123,0,37,17,9823
1.84589,122,0,38,17,9823
1.869,121,0,39,17,9823
1.88285,121,0,38,18,9823
1.89967,120,0,39,18,9823
1.90866,119,0,40,18,9823
1.92275,119,0,39,19,9823
1.93132,118,0,40,19,9823
1.94097,119,0,40,19,9822
1.95818,119,0,39,20,9822
1.95847,120,0,39,20,9821
1.96164,119,0,40,20,9821
1.96312,118,0,41,20,9821
1.97479,117,0,42,20,9821
1.97934,116,0,43,20,9821
1.99184,116,0,42,21,9821
2.01085,117,0,42,21,9820
2.04601,116,0,43,21,9820
2.06534,115,0,44,21,9820
2.07793,115,0,43,22,9820
2.09003,114,0,44,22,9820
2.0965,115,0,44,22,9819
2.09676,115,0,43,23,9819
2.09969,116,0,43,23,9818
2.10249,117,0,43,23,9817
2.11553,118,0,43,23,9816
2.13442,119,0,43,23,9815
2.17397,120,0,43,23,9814
2.19719,121,0,43,23,9813
