Time,E,H,I,R,S
0.0424851,134,0,10,0,9856
0.0702015,133,0,11,0,9856
0.0713206,132,0,12,0,9856
0.0720307,131,0,13,0,9856
0.107104,130,0,14,0,9856
0.142892,129,0,15,0,9856
0.165143,128,0,16,0,9856
0.174066,127,0,17,0,9856
0.209053,126,0,18,0,9856
0.213042,127,0,18,0,9855
0.233287,128,0,18,0,9854
0.252771,127,0,19,0,9854
0.25611,128,0,19,0,9853
0.263786,129,0,19,0,9852
0.270842,129,0,18,1,9852
0.337179,128,0,19,1,9852
0.353326,129,0,19,1,9851
0.356468,128,0,20,1,9851
0.379289,127,0,21,1,9851
0.403119,128,0,21,1,9850
0.408712,129,0,21,1,9849
0.481014,130,0,21,1,9848
0.5249,130,0,20,2,9848
0.543136,131,0,20,2,9847
0.613293,132,0,20,2,9846
0.631783,131,0,21,2,9846
0.642705,130,0,22,2,9846
0.6602,129,0,23,2,9846
0.660711,130,0,23,2,9845
0.674418,129,0,24,2,9845
0.694947,128,0,25,2,9845
0.710186,127,0,26,2,9845
0.716315,127,0,25,3,9845
0.777409,127,0,24,4,9845
0.78286,126,0,25,4,9845
0.78485,125,0,26,4,9845
0.888085,125,0,25,5,9845
0.902374,124,0,26,5,9845
0.980727,125,0,26,5,9844
1.07864,125,0,25,6,9844
1.09372,124,0,26,6,9844
1.1294,123,0,27,6,9844
1.1444,124,0,27,6,9843
1.20572,125,0,27,6,9842
1.21936,124,0,28,6,9842
1.23492,123,0,29,6,9842
1.24375,123,0,28,7,9842
1.26108,124,0,28,7,9841
1.27654,125,0,28,7,9840
1.28706,126,0,28,7,9839
1.32542,127,0,28,7,9838
1.33847,127,0,27,8,9838
1.36173,126,0,28,8,9838
1.3716,125,0,29,8,9838
1.3928,124,0,30,8,9838
1.40718,125,0,30,8,9837
1.43673,126,0,30,8,9836
1.48416,127,0,30,8,9835
1.49352,127,0,29,9,9835
1.55118,128,0,29,9,9834
1.57708,127,0,30,9,9834
1.63313,128,0,30,9,9833
1.65802,127,0,31,9,9833
1.73255,128,0,31,9,9832
1.74611,129,0,31,9,9831
1.75145,130,0,31,9,9830
1.76427,130,0,30,10,9830
1.80938,130,0,29,11,9830
1.80972,130,0,28,12,9830
1.84387,129,0,29,12,9830
1.85979,128,0,30,12,9830
1.8745,128,0,29,13,9830
1.87952,127,0,30,13,9830
