Time,E,H,I,R,S
0.0180091,134,0,10,0,9856
0.0689233,133,0,11,0,9856
0.0763967,134,0,11,0,9855
0.104952,133,0,12,0,9855
0.146145,134,0,12,0,9854
0.174626,135,0,12,0,9853
0.20895,134,0,13,0,9853
0.24717,135,0,13,0,9852
0.258547,136,0,13,0,9851
0.266177,137,0,13,0,9850
0.28746,136,0,14,0,9850
0.292408,135,0,15,0,9850
0.363802,134,0,16,0,9850
0.371687,133,0,17,0,9850
0.409956,132,0,18,0,9850
0.443111,131,0,19,0,9850
0.49133,130,0,20,0,9850
0.499062,129,0,21,0,9850
0.505795,128,0,22,0,9850
0.508231,128,0,21,1,9850
0.510817,127,0,22,1,9850
0.516361,128,0,22,1,9849
0.523157,129,0,22,1,9848
0.534512,128,0,23,1,9848
0.537781,127,0,24,1,9848
0.552082,128,0,24,1,9847
0.556469,127,0,25,1,9847
0.580351,128,0,25,1,9846
0.584572,127,0,26,1,9846
0.608946,128,0,26,1,9845
0.622112,127,0,27,1,9845
0.684132,126,0,28,1,9845
0.694308,125,0,29,1,9845
0.69775,126,0,29,1,9844
0.762161,125,0,30,1,9844
0.766201,125,0,29,2,9844
0.804019,126,0,29,2,9843
0.842393,125,0,30,2,9843
0.881605,126,0,30,2,9842
0.928088,127,0,30,2,9841
0.985569,126,0,31,2,9841
0.997471,127,0,31,2,9840
1.02296,126,0,32,2,9840
1.07023,126,0,31,3,9840
1.08173,125,0,32,3,9840
1.13154,126,0,32,3,9839
1.13672,127,0,32,3,9838
1.13977,126,0,33,3,9838
1.16341,127,0,33,3,9837
1.17279,128,0,33,3,9836
1.1941,129,0,33,3,9835
1.20872,128,0,34,3,9835
1.21137,129,0,34,3,9834
1.26259,130,0,34,3,9833
1.27028,129,0,35,3,9833
1.28667,130,0,35,3,9832
1.29088,130,0,34,4,9832
1.29321,129,0,35,4,9832
1.30185,128,0,36,4,9832
1.3045,129,0,36,4,9831
1.30659,129,0,35,5,9831
1.3154,128,0,36,5,9831
1.33887,129,0,36,5,9830
1.40364,129,0,35,6,9830
1.41419,130,0,35,6,9829
1.41818,130,0,34,7,9829
1.42208,131,0,34,7,9828
1.42266,130,0,35,7,9828
1.43021,131,0,35,7,9827
1.43366,130,0,36,7,9827
1.44519,129,0,37,7,9827
1.49639,128,0,38,7,9827
1.50276,127,0,39,7,9827
1.5297,127,0,38,8,9827
1.53575,126,0,39,8,9827
1.53746,127,0,39,8,9826
1.54311,128,0,39,8,9825
1.54919,128,0,38,9,9825
1.56197,129,0,38,9,9824
1.56294,129,0,37,10,9824
1.56649,130,0,37,10,9823
1.56657,129,0,38,10,9823
1.58555,130,0,38,10,9822
1.61,129,0,39,10,9822
1.61104,130,0,39,10,9821
1.62148,131,0,39,10,9820
1.62181,131,0,38,11,9820
1.65983,132,0,38,11,9819
1.67244,131,0,39,11,9819
1.67671,130,0,40,11,9819
1.6953,130,0,39,12,9819
1.70549,131,0,39,12,9818
1.73844,132,0,39,12,9817
1.75629,133,0,39,12,9816
1.7576,134,0,39,12,9815
1.76526,133,0,40,12,9815
1.77343,133,0,39,13,9815
1.77399,133,0,38,14,9815
1.78995,132,0,39,14,9815
1.79352,133,0,39,14,9814
1.79377,132,0,40,14,9814
1.79416,131,0,41,14,9814
1.7988,132,0,41,14,9813
1.80664,133,0,41,14,9812
1.83203,134,0,41,14,9811
1.88692,134,0,40,15,9811
1.90683,135,0,40,15,9810
1.91379,136,0,40,15,9809
1.9192,137,0,40,15,9808
1.96322,136,0,41,15,9808
1.96737,137,0,41,15,9807
1.97456,137,0,40,16,9807
1.98257,138,0,40,16,9806
1.98767,139,0,40,16,9805
1.99943,139,0,39,17,9805
2.0056,138,0,40,17,9805
2.00585,139,0,40,17,9804
2.03344,139,0,39,18,9804
2.03447,140,0,39,18,9803
2.03923,140,0,38,19,9803
2.05235,140,0,37,20,9803
2.06637,140,0,36,21,9803
2.068,141,0,36,21,9802
2.09358,141,0,35,22,9802
2.09362,142,0,35,22,9801
2.10146,142,0,34,23,9801
2.10335,141,0,35,23,9801
2.1169,142,0,35,23,9800
2.12483,142,0,34,24,9800
2.12627,141,0,35,24,9800
2.18826,141,0,34,25,9800
2.19015,140,0,35,25,9800
2.19094,141,0,35,25,9799
2.19167,142,0,35,25,9798
2.20284,142,0,34,26,9798
2.22238,143,0,34,26,9797
2.23793,144,0,34,26,9796
2.26274,143,0,35,26,9796
2.27964,144,0,35,26,9795
2.28053,144,0,34,27,9795
2.28301,144,0,33,28,9795
2.32429,143,0,34,28,9795
2.34533,144,0,34,28,9794
2.35153,144,0,33,29,9794
2.36016,145,0,33,29,9793
2.36379,146,0,33,29,9792
2.41988,147,0,33,29,9791
2.42123,148,0,33,29,9790
2.43337,147,0,34,29,9790
2.43492,146,0,35,29,9790
2.43988,145,0,36,29,9790
2.4626,146,0,36,29,9789
2.46395,145,0,37,29,9789
2.49111,144,0,38,29,9789
2.52384,143,0,39,29,9789
2.55555,144,0,39,29,9788
2.57345,144,0,38,30,9788
2.59565,145,0,38,30,9787
2.60267,144,0,39,30,9787
2.60699,145,0,39,30,9786
2.6212,144,0,40,30,9786
2.62647,145,0,40,30,9785
2.6517,144,0,41,30,9785
2.65686,143,0,42,30,9785
2.66024,142,0,43,30,9785
2.66533,143,0,43,30,9784
2.67004,144,0,43,30,9783
2.67364,145,0,43,30,9782
2.68058,144,0,44,30,9782
2.68725,143,0,45,30,9782
2.7053,144,0,45,30,9781
2.72294,145,0,45,30,9780
2.72315,146,0,45,30,9779
2.73901,146,0,44,31,9779
2.75457,147,0,44,31,9778
2.79024,148,0,44,31,9777
2.80616,149,0,44,31,9776
2.8069,150,0,44,31,9775
2.83301,151,0,44,31,9774
2.83652,150,0,45,31,9774
2.85175,149,0,46,31,9774
2.8545,149,0,45,32,9774
2.86424,150,0,45,32,9773
2.86891,149,0,46,32,9773
2.87488,150,0,46,32,9772
2.88155,149,0,47,32,9772
2.89309,148,0,48,32,9772
2.89757,148,0,47,33,9772
2.90626,147,0,48,33,9772
2.91546,148,0,48,33,9771
2.93399,148,0,47,34,9771
2.9399,147,0,48,34,9771
2.96023,146,0,49,34,9771
2.97528,147,0,49,34,9770
2.98857,147,0,48,35,9770
3.02705,146,0,49,35,9770
3.0653,147,0,49,35,9769
3.06653,148,0,49,35,9768
3.07578,149,0,49,35,9767
3.08445,148,0,50,35,9767
3.09723,148,0,49,36,9767
3.10612,147,0,50,36,9767
3.10851,147,0,49,37,9767
3.10869,148,0,49,37,9766
3.11097,149,0,49,37,9765
3.11438,148,0,50,37,9765
3.12635,149,0,50,37,9764
3.12825,150,0,50,37,9763
3.13925,151,0,50,37,9762
3.14192,151,0,49,38,9762
3.15414,152,0,49,38,9761
3.15884,153,0,49,38,9760
3.18868,153,0,48,39,9760
3.19509,152,0,49,39,9760
3.19511,153,0,49,39,9759
3.21532,154,0,49,39,9758
3.24804,155,0,49,39,9757
3.25276,155,0,48,40,9757
3.25402,156,0,48,40,9756
3.25524,155,0,49,40,9756
3.25825,156,0,49,40,9755
3.29217,155,0,50,40,9755
3.29896,156,0,50,40,9754
3.30138,157,0,50,40,9753
3.30832,156,0,51,40,9753
3.30848,157,0,51,40,9752
3.31883,156,0,52,40,9752
3.32114,155,0,53,40,9752
3.34518,156,0,53,40,9751
3.35127,156,0,52,41,9751
3.36835,157,0,52,41,9750
3.37694,156,0,53,41,9750
3.38406,157,0,53,41,9749
3.39098,157,0,52,42,9749
3.40215,157,0,51,43,9749
3.40554,156,0,52,43,9749
3.41153,156,0,51,44,9749
3.42937,157,0,51,44,9748
3.44989,156,0,52,44,9748
3.45902,157,0,52,44,9747
3.46698,158,0,52,44,9746
3.48556,159,0,52,44,9745
3.49652,159,0,51,45,9745
3.49995,160,0,51,45,9744
3.50242,161,0,51,45,9743
3.52478,160,0,52,45,9743
3.53592,161,0,52,45,9742
3.54803,160,0,53,45,9742
3.58069,161,0,53,45,9741
3.62884,160,0,54,45,9741
3.63265,159,0,55,45,9741
3.64304,159,0,54,46,9741
3.64725,160,0,54,46,9740
3.65339,161,0,54,46,9739
3.65854,162,0,54,46,9738
3.6586,163,0,54,46,9737
3.65878,163,0,53,47,9737
3.66479,163,0,52,48,9737
3.66566,164,0,52,48,9736
3.6846,163,0,53,48,9736
3.70417,162,0,54,48,9736
3.72597,161,0,55,48,9736
3.72789,160,0,56,48,9736
3.75222,159,0,57,48,9736
3.75806,159,0,56,49,9736
3.76177,158,0,57,49,9736
3.7659,159,0,57,49,9735
3.76943,159,0,56,50,9735
3.78481,158,0,57,50,9735
3.79236,157,0,58,50,9735
3.79345,158,0,58,50,9734
3.79489,158,0,57,51,9734
3.80899,159,0,57,51,9733
3.81285,160,0,57,51,9732
3.82127,160,0,56,52,9732
3.82882,161,0,56,52,9731
3.8474,161,0,55,53,9731
3.85661,160,0,56,53,9731
3.86127,160,0,55,54,9731
3.86492,161,0,55,54,9730
3.86639,162,0,55,54,9729
3.87442,163,0,55,54,9728
3.89167,164,0,55,54,9727
3.90105,165,0,55,54,9726
3.91662,164,0,56,54,9726
3.92279,163,0,57,54,9726
3.92906,164,0,57,54,9725
3.94119,165,0,57,54,9724
3.95336,164,0,58,54,9724
3.95588,165,0,58,54,9723
3.95865,166,0,58,54,9722
3.96072,166,0,57,55,9722
3.96957,165,0,58,55,9722
3.97045,166,0,58,55,9721
3.97701,167,0,58,55,9720
3.9904,166,0,59,55,9720
4.01677,167,0,59,55,9719
4.02941,166,0,60,55,9719
4.03165,165,0,61,55,9719
4.04522,164,0,62,55,9719
4.0479,165,0,62,55,9718
4.05282,166,0,62,55,9717
4.06021,166,0,61,56,9717
4.06283,167,0,61,56,9716
4.07215,166,0,62,56,9716
4.07766,167,0,62,56,9715
4.09289,167,0,61,57,9715
4.11204,166,0,62,57,9715
4.11484,166,0,61,58,9715
4.11635,165,0,62,58,9715
4.16189,166,0,62,58,9714
4.19122,167,0,62,58,9713
4.21598,168,0,62,58,9712
4.22817,169,0,62,58,9711
4.2354,170,0,62,58,9710
4.25098,171,0,62,58,9709
