Time,E,H,I,R,S
0.00182309,135,0,8,1,9856
0.0374794,134,0,9,1,9856
0.0643712,135,0,9,1,9855
0.122751,136,0,9,1,9854
0.150385,135,0,10,1,9854
0.173839,134,0,11,1,9854
0.195954,135,0,11,1,9853
0.20014,134,0,12,1,9853
0.208825,133,0,13,1,9853
0.222009,134,0,13,1,9852
0.242573,135,0,13,1,9851
0.243392,134,0,14,1,9851
0.314726,133,0,15,1,9851
0.328888,133,0,14,2,9851
0.379581,132,0,15,2,9851
0.383956,131,0,16,2,9851
0.409634,132,0,16,2,9850
0.414045,131,0,17,2,9850
0.421232,130,0,18,2,9850
0.442011,129,0,19,2,9850
0.444911,128,0,20,2,9850
0.483264,129,0,20,2,9849
0.491177,128,0,21,2,9849
0.521409,129,0,21,2,9848
0.534905,128,0,22,2,9848
0.563318,127,0,23,2,9848
0.619246,126,0,24,2,9848
0.626184,125,0,25,2,9848
0.65869,126,0,25,2,9847
0.672516,125,0,26,2,9847
0.723536,125,0,25,3,9847
0.727353,125,0,24,4,9847
0.776901,126,0,24,4,9846
0.779048,127,0,24,4,9845
0.785474,128,0,24,4,9844
0.8121,129,0,24,4,9843
0.813647,129,0,23,5,9843
0.836636,130,0,23,5,9842
0.838621,131,0,23,5,9841
0.881433,130,0,24,5,9841
0.885955,129,0,25,5,9841
0.900017,128,0,26,5,9841
0.904632,127,0,27,5,9841
0.921859,128,0,27,5,9840
0.977392,129,0,27,5,9839
1.0447,130,0,27,5,9838
1.0575,130,0,26,6,9838
1.05939,130,0,25,7,9838
1.07114,129,0,26,7,9838
1.09876,130,0,26,7,9837
1.11343,131,0,26,7,9836
1.11646,132,0,26,7,9835
1.11781,131,0,27,7,9835
1.11868,130,0,28,7,9835
1.12734,131,0,28,7,9834
1.16011,130,0,29,7,9834
1.17806,131,0,29,7,9833
1.19286,130,0,30,7,9833
1.20657,131,0,30,7,9832
1.2112,130,0,31,7,9832
1.21163,131,0,31,7,9831
1.22527,130,0,32,7,9831
1.25001,131,0,32,7,9830
1.26267,132,0,32,7,9829
1.27064,131,0,33,7,9829
1.28755,132,0,33,7,9828
1.32548,133,0,33,7,9827
1.35726,134,0,33,7,9826
1.36802,135,0,33,7,9825
1.40849,134,0,34,7,9825
1.41363,133,0,35,7,9825
1.44616,134,0,35,7,9824
