Time,E,H,I,R,S
0.017702,134,0,10,0,9856
0.0190727,133,0,11,0,9856
0.0208371,132,0,12,0,9856
0.0547689,132,0,11,1,9856
0.0883915,131,0,12,1,9856
0.0982765,132,0,12,1,9855
0.10224,131,0,13,1,9855
0.128772,130,0,14,1,9855
0.155581,131,0,14,1,9854
0.185578,130,0,15,1,9854
0.187908,131,0,15,1,9853
0.196651,130,0,16,1,9853
0.214333,131,0,16,1,9852
0.226017,130,0,17,1,9852
0.236442,131,0,17,1,9851
0.237635,130,0,18,1,9851
0.247674,130,0,17,2,9851
0.25937,131,0,17,2,9850
0.277246,132,0,17,2,9849
0.279276,133,0,17,2,9848
0.290839,132,0,18,2,9848
0.312163,132,0,17,3,9848
0.314376,131,0,18,3,9848
0.323942,130,0,19,3,9848
0.333653,129,0,20,3,9848
0.351733,130,0,20,3,9847
0.375901,129,0,21,3,9847
0.398197,130,0,21,3,9846
0.405215,129,0,22,3,9846
0.409339,128,0,23,3,9846
0.411222,127,0,24,3,9846
0.440097,126,0,25,3,9846
0.456514,125,0,26,3,9846
0.466495,126,0,26,3,9845
0.499907,125,0,27,3,9845
0.510358,126,0,27,3,9844
0.522173,125,0,28,3,9844
0.570174,126,0,28,3,9843
0.576537,127,0,28,3,9842
0.578987,126,0,29,3,9842
0.587483,125,0,30,3,9842
0.593966,124,0,31,3,9842
0.599695,124,0,30,4,9842
0.629498,124,0,29,5,9842
0.678929,125,0,29,5,9841
0.704138,124,0,30,5,9841
0.724254,123,0,31,5,9841
0.798577,124,0,31,5,9840
0.811289,125,0,31,5,9839
0.814715,124,0,32,5,9839
0.832634,125,0,32,5,9838
0.833678,126,0,32,5,9837
0.83776,127,0,32,5,9836
0.843405,128,0,32,5,9835
0.852252,129,0,32,5,9834
0.874237,130,0,32,5,9833
0.953212,129,0,33,5,9833
0.973382,130,0,33,5,9832
0.974236,131,0,33,5,9831
0.978499,132,0,33,5,9830
0.984774,131,0,34,5,9830
1.0128,131,0,33,6,9830
1.03761,132,0,33,6,9829
1.04435,132,0,32,7,9829
1.05941,132,0,31,8,9829
1.07157,133,0,31,8,9828
1.08315,134,0,31,8,9827
1.08542,133,0,32,8,9827
1.08908,133,0,31,9,9827
1.116,134,0,31,9,9826
1.1225,133,0,32,9,9826
1.16376,134,0,32,9,9825
1.16587,135,0,32,9,9824
1.16602,135,0,31,10,9824
1.18345,136,0,31,10,9823
1.18986,136,0,30,11,9823
1.25516,135,0,31,11,9823
1.30776,136,0,31,11,9822
1.31584,135,0,32,11,9822
1.31754,134,0,33,11,9822
1.33281,135,0,33,11,9821
1.33838,134,0,34,11,9821
1.36607,135,0,34,11,9820
1.36766,134,0,35,11,9820
1.37147,133,0,36,11,9820
1.38689,134,0,36,11,9819
1.39789,135,0,36,11,9818
1.40194,134,0,37,11,9818
1.40516,135,0,37,11,9817
1.44945,136,0,37,11,9816
1.48362,137,0,37,11,9815
1.5135,136,0,38,11,9815
1.51524,136,0,37,12,9815
1.53549,136,0,36,13,9815
1.54453,137,0,36,13,9814
1.54487,137,0,35,14,9814
1.54531,136,0,36,14,9814
1.54594,135,0,37,14,9814
1.5561,134,0,38,14,9814
1.58284,133,0,39,14,9814
1.59544,132,0,40,14,9814
1.65501,133,0,40,14,9813
1.65873,134,0,40,14,9812
1.6758,135,0,40,14,9811
1.67847,136,0,40,14,9810
1.70208,137,0,40,14,9809
1.70865,138,0,40,14,9808
1.72086,139,0,40,14,9807
1.73012,138,0,41,14,9807
1.75405,139,0,41,14,9806
1.82387,138,0,42,14,9806
1.84801,139,0,42,14,9805
1.87826,140,0,42,14,9804
1.88732,141,0,42,14,9803
1.91307,142,0,42,14,9802
1.93064,141,0,43,14,9802
1.93099,142,0,43,14,9801
1.93116,142,0,42,15,9801
1.97455,141,0,43,15,9801
1.98714,142,0,43,15,9800
1.99798,143,0,43,15,9799
2.03663,144,0,43,15,9798
2.04055,145,0,43,15,9797
2.06989,144,0,44,15,9797
2.09716,145,0,44,15,9796
2.10102,145,0,43,16,9796
2.11212,145,0,42,17,9796
2.13578,146,0,42,17,9795
2.14185,145,0,43,17,9795
2.18028,146,0,43,17,9794
2.19829,147,0,43,17,9793
2.2109,147,0,42,18,9793
2.22623,147,0,41,19,9793
2.24445,148,0,41,19,9792
2.25575,149,0,41,19,9791
2.26933,149,0,40,20,9791
2.27849,149,0,39,21,9791
2.28956,150,0,39,21,9790
2.29793,149,0,40,21,9790
2.30134,148,0,41,21,9790
2.3055,149,0,41,21,9789
2.31595,149,0,40,22,9789
2.31737,148,0,41,22,9789
2.32853,147,0,42,22,9789
2.33641,148,0,42,22,9788
2.34401,147,0,43,22,9788
2.36139,146,0,44,22,9788
2.37114,147,0,44,22,9787
2.37471,148,0,44,22,9786
2.37862,147,0,45,22,9786
2.38385,148,0,45,22,9785
2.42111,149,0,45,22,9784
2.42291,150,0,45,22,9783
2.44176,151,0,45,22,9782
2.45403,150,0,46,22,9782
2.48453,150,0,45,23,9782
2.48691,149,0,46,23,9782
2.49423,148,0,47,23,9782
2.51417,148,0,46,24,9782
2.51731,147,0,47,24,9782
2.52198,146,0,48,24,9782
2.52208,147,0,48,24,9781
2.5346,146,0,49,24,9781
2.54526,145,0,50,24,9781
2.56008,144,0,51,24,9781
2.58173,145,0,51,24,9780
2.59107,145,0,50,25,9780
2.59126,144,0,51,25,9780
2.59371,144,0,50,26,9780
2.64634,144,0,49,27,9780
2.66045,145,0,49,27,9779
2.66908,146,0,49,27,9778
2.67488,147,0,49,27,9777
2.68777,147,0,48,28,9777
2.69503,146,0,49,28,9777
2.71259,147,0,49,28,9776
2.73854,148,0,49,28,9775
2.74754,148,0,48,29,9775
2.7478,149,0,48,29,9774
2.76092,150,0,48,29,9773
2.7897,150,0,47,30,9773
2.79851,149,0,48,30,9773
2.7998,148,0,49,30,9773
2.82077,148,0,48,31,9773
2.82138,149,0,48,31,9772
2.83237,150,0,48,31,9771
2.85151,150,0,47,32,9771
2.87285,149,0,48,32,9771
2.90258,150,0,48,32,9770
2.92664,149,0,49,32,9770
2.94176,148,0,50,32,9770
2.98053,149,0,50,32,9769
3.01443,149,0,49,33,9769
3.02096,148,0,50,33,9769
3.0213,148,0,49,34,9769
3.05657,148,0,48,35,9769
3.08284,147,0,49,35,9769
3.08545,146,0,50,35,9769
3.09073,147,0,50,35,9768
3.09546,148,0,50,35,9767
3.10825,149,0,50,35,9766
3.10973,150,0,50,35,9765
3.12224,151,0,50,35,9764
3.14788,152,0,50,35,9763
3.1485,151,0,51,35,9763
3.15309,150,0,52,35,9763
3.15418,151,0,52,35,9762
3.19338,150,0,53,35,9762
3.19799,149,0,54,35,9762
3.20387,149,0,53,36,9762
3.20994,148,0,54,36,9762
3.23369,147,0,55,36,9762
3.2403,148,0,55,36,9761
3.24206,149,0,55,36,9760
3.26908,150,0,55,36,9759
3.2735,151,0,55,36,9758
3.29489,150,0,56,36,9758
3.30737,150,0,55,37,9758
3.30887,150,0,54,38,9758
3.32043,151,0,54,38,9757
3.32814,151,0,53,39,9757
3.35181,152,0,53,39,9756
3.38278,151,0,54,39,9756
3.41935,152,0,54,39,9755
3.42234,152,0,53,40,9755
3.44492,152,0,52,41,9755
3.45681,151,0,53,41,9755
3.46123,150,0,54,41,9755
3.46183,151,0,54,41,9754
3.47439,152,0,54,41,9753
3.49296,153,0,54,41,9752
3.49386,153,0,53,42,9752
3.50111,154,0,53,42,9751
3.50898,155,0,53,42,9750
3.52546,154,0,54,42,9750
3.5257,153,0,55,42,9750
3.5438,154,0,55,42,9749
3.54635,155,0,55,42,9748
3.55388,154,0,56,42,9748
3.57522,155,0,56,42,9747
3.58211,156,0,56,42,9746
3.61637,157,0,56,42,9745
3.6374,158,0,56,42,9744
3.64499,158,0,55,43,9744
3.68561,158,0,54,44,9744
3.69264,157,0,55,44,9744
3.70508,156,0,56,44,9744
3.71399,156,0,55,45,9744
3.72253,157,0,55,45,9743
3.73757,156,0,56,45,9743
3.74478,155,0,57,45,9743
3.7551,156,0,57,45,9742
3.76634,156,0,56,46,9742
3.76738,157,0,56,46,9741
3.79086,156,0,57,46,9741
3.79228,155,0,58,46,9741
3.79524,155,0,57,47,9741
3.79683,155,0,56,48,9741
3.80516,155,0,55,49,9741
3.80823,155,0,54,50,9741
3.81269,154,0,55,50,9741
3.82443,153,0,56,50,9741
3.82485,153,0,55,51,9741
3.83304,154,0,55,51,9740
3.84821,155,0,55,51,9739
3.84945,156,0,55,51,9738
3.861,155,0,56,51,9738
3.87414,156,0,56,51,9737
3.88224,155,0,57,51,9737
3.88625,155,0,56,52,9737
3.89317,154,0,57,52,9737
3.8962,155,0,57,52,9736
3.93469,154,0,58,52,9736
3.93861,155,0,58,52,9735
3.95375,155,0,57,53,9735
3.97353,156,0,57,53,9734
3.97566,157,0,57,53,9733
3.98167,156,0,58,53,9733
4.01419,157,0,58,53,9732
4.02852,158,0,58,53,9731
4.04313,159,0,58,53,9730
4.06699,159,0,57,54,9730
4.09222,160,0,57,54,9729
4.09377,161,0,57,54,9728
4.09776,160,0,58,54,9728
4.11708,160,0,57,55,9728
4.12481,159,0,58,55,9728
4.15394,160,0,58,55,9727
4.18286,161,0,58,55,9726
4.19036,162,0,58,55,9725
4.19666,162,0,57,56,9725
4.20641,161,0,58,56,9725
4.20644,161,0,57,57,9725
4.2181,162,0,57,57,9724
4.22382,161,0,58,57,9724
4.2429,162,0,58,57,9723
4.25776,161,0,59,57,9723
4.26534,160,0,60,57,9723
4.2667,161,0,60,57,9722
4.28422,160,0,61,57,9722
4.30329,161,0,61,57,9721
4.30528,160,0,62,57,9721
4.30931,161,0,62,57,9720
4.35739,162,0,62,57,9719
4.37126,163,0,62,57,9718
4.37708,162,0,63,57,9718
4.38801,163,0,63,57,9717
4.39419,164,0,63,57,9716
4.39983,163,0,64,57,9716
4.40396,162,0,65,57,9716
4.40551,162,0,64,58,9716
4.41822,163,0,64,58,9715
4.42452,162,0,65,58,9715
4.44041,162,0,64,59,9715
4.44985,161,0,65,59,9715
4.48395,160,0,66,59,9715
4.4867,159,0,67,59,9715
4.49274,160,0,67,59,9714
4.49517,161,0,67,59,9713
4.51025,160,0,68,59,9713
4.5116,159,0,69,59,9713
4.51453,158,0,70,59,9713
4.52318,159,0,70,59,9712
4.52633,159,0,69,60,9712
4.552,160,0,69,60,9711
4.55711,159,0,70,60,9711
4.55805,160,0,70,60,9710
4.57043,161,0,70,60,9709
4.57389,162,0,70,60,9708
4.58811,163,0,70,60,9707
4.6264,164,0,70,60,9706
4.65186,165,0,70,60,9705
4.66166,166,0,70,60,9704
4.66892,166,0,69,61,9704
4.67592,165,0,70,61,9704
4.69132,165,0,69,62,9704
4.69197,166,0,69,62,9703
4.69921,165,0,70,62,9703
4.70755,166,0,70,62,9702
4.7123,167,0,70,62,9701
4.73748,166,0,71,62,9701
4.7469,167,0,71,62,9700
4.74851,167,0,70,63,9700
4.75596,166,0,71,63,9700
4.76681,165,0,72,63,9700
4.76741,165,0,71,64,9700
4.79856,165,0,70,65,9700
4.80497,164,0,71,65,9700
4.81318,164,0,70,66,9700
4.81375,163,0,71,66,9700
4.83021,162,0,72,66,9700
4.83197,162,0,71,67,9700
4.83523,161,0,72,67,9700
4.84122,162,0,72,67,9699
4.84574,161,0,73,67,9699
4.84732,161,0,72,68,9699
4.84885,160,0,73,68,9699
4.86346,160,0,72,69,9699
4.87452,161,0,72,69,9698
4.88943,160,0,73,69,9698
4.89102,159,0,74,69,9698
4.89479,160,0,74,69,9697
4.89622,161,0,74,69,9696
4.90129,162,0,74,69,9695
4.90285,163,0,74,69,9694
4.90503,163,0,73,70,9694
4.90791,164,0,73,70,9693
4.90867,165,0,73,70,9692
4.91841,166,0,73,70,9691
4.9236,167,0,73,70,9690
4.95516,168,0,73,70,9689
4.96496,169,0,73,70,9688
4.96671,170,0,73,70,9687
4.97344,171,0,73,70,9686
4.98038,170,0,74,70,9686
