Time,E,H,I,R,S
0.0183833,134,0,10,0,9856
0.0250166,135,0,10,0,9855
0.0278895,134,0,11,0,9855
0.0421534,133,0,12,0,9855
0.0592099,132,0,13,0,9855
0.109913,131,0,14,0,9855
0.138166,132,0,14,0,9854
0.144707,131,0,15,0,9854
0.146706,130,0,16,0,9854
0.153319,131,0,16,0,9853
0.170901,130,0,17,0,9853
0.220668,131,0,17,0,9852
0.237876,130,0,18,0,9852
0.239245,129,0,19,0,9852
0.347173,130,0,19,0,9851
0.386656,129,0,20,0,9851
0.464822,128,0,21,0,9851
0.513069,127,0,22,0,9851
0.515212,126,0,23,0,9851
0.515803,125,0,24,0,9851
0.577554,125,0,23,1,9851
0.621401,126,0,23,1,9850
0.635329,125,0,24,1,9850
0.64157,125,0,23,2,9850
0.645488,126,0,23,2,9849
0.662268,125,0,24,2,9849
0.692545,124,0,25,2,9849
0.71811,125,0,25,2,9848
0.729462,126,0,25,2,9847
0.729602,127,0,25,2,9846
0.733034,126,0,26,2,9846
0.75437,127,0,26,2,9845
0.755133,127,0,25,3,9845
0.769841,128,0,25,3,9844
0.851831,127,0,26,3,9844
0.87037,128,0,26,3,9843
0.872381,128,0,25,4,9843
0.874434,129,0,25,4,9842
0.876486,128,0,26,4,9842
0.897688,129,0,26,4,9841
0.902449,129,0,25,5,9841
0.920624,128,0,26,5,9841
1.01588,128,0,25,6,9841
1.02985,129,0,25,6,9840
1.08674,128,0,26,6,9840
1.09542,128,0,25,7,9840
1.10564,127,0,26,7,9840
1.10649,126,0,27,7,9840
1.11863,127,0,27,7,9839
1.12158,127,0,26,8,9839
1.13413,128,0,26,8,9838
1.15148,129,0,26,8,9837
1.15267,129,0,25,9,9837
1.16904,130,0,25,9,9836
1.19981,131,0,25,9,9835
1.20965,130,0,26,9,9835
1.24778,129,0,27,9,9835
1.28238,128,0,28,9,9835
1.3081,128,0,27,10,9835
1.31461,127,0,28,10,9835
1.36152,127,0,27,11,9835
1.45683,126,0,28,11,9835
1.48313,127,0,28,11,9834
1.56138,128,0,28,11,9833
1.59112,127,0,29,11,9833
1.63143,128,0,29,11,9832
1.63896,129,0,29,11,9831
1.64624,128,0,30,11,9831
1.6846,127,0,31,11,9831
1.69476,126,0,32,11,9831
1.7179,125,0,33,11,9831
1.74885,124,0,34,11,9831
1.75381,125,0,34,11,9830
1.79561,126,0,34,11,9829
1.80887,125,0,35,11,9829
1.8191,124,0,36,11,9829
1.82304,124,0,35,12,9829
1.82325,124,0,34,13,9829
1.84152,125,0,34,13,9828
1.84732,126,0,34,13,9827
1.84766,127,0,34,13,9826
1.86213,126,0,35,13,9826
1.89154,126,1,34,13,9826
1.90379,125,1,35,13,9826
1.938,124,1,36,13,9826
1.93814,125,1,36,13,9825
1.94258,126,1,36,13,9824
1.97474,127,1,36,13,9823
1.97687,126,1,37,13,9823
1.97829,125,1,38,13,9823
1.98126,125,1,37,14,9823
1.99259,125,1,36,15,9823
1.99358,124,1,37,15,9823
2.00769,125,1,37,15,9822
